SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE,CHOICE_SIZE
1513011474,0,36,1,120,120,2,120,120,1,120,60,CENTER,EQUAL
1513011474,0,1,1,120,60,1,60,120,2,120,120,TOP,LARGER
1513011474,0,26,1,120,120,1,60,120,1,120,60,TOP,EQUAL
1513011474,0,6,1,120,60,2,60,120,2,120,60,TOP,LARGER
1513011474,0,21,2,120,120,1,120,120,2,60,120,CENTER,EQUAL
1513011747,0,18,2,120,60,1,120,60,1,60,120,CENTER,LARGER
1513011747,0,13,1,60,120,1,120,60,1,120,120,BOTTOM,EQUAL
1513011747,0,3,1,60,120,2,120,60,2,60,120,BOTTOM,LARGER
1513011747,0,23,1,120,60,2,60,120,1,60,120,CENTER,LARGER
1513011747,0,8,2,120,60,2,60,120,1,60,120,CENTER,LARGER
1513011747,0,33,1,60,120,1,120,120,2,60,120,CENTER,EQUAL
1513011747,0,28,1,120,120,2,60,120,1,60,120,TOP,EQUAL
1513012166,0,19,2,60,120,1,60,120,1,120,120,BOTTOM,EQUAL
1513012166,0,14,1,60,120,2,60,120,1,120,60,BOTTOM,LARGER
1513012166,0,34,1,60,120,2,120,60,2,120,120,TOP,SMALLER
1513012166,0,9,1,60,120,1,120,120,1,120,60,BOTTOM,LARGER
1513012166,0,4,2,120,60,1,120,120,2,60,120,CENTER,EQUAL
1513012166,0,29,1,120,120,1,120,60,2,120,60,CENTER,LARGER
1513012166,0,24,2,120,120,1,60,120,2,60,120,TOP,EQUAL
1513014470,0,6,2,60,120,1,120,120,2,120,60,CENTER,EQUAL
1513014470,0,26,2,120,60,2,60,120,1,120,60,CENTER,LARGER
1513014470,0,11,1,60,120,2,120,120,1,120,120,CENTER,EQUAL
1513014470,0,31,1,60,120,2,60,120,2,120,60,CENTER,LARGER
1513014470,0,16,1,60,120,2,60,120,1,120,60,BOTTOM,LARGER
1513014470,0,36,1,120,120,2,60,120,1,120,60,CENTER,LARGER
1513014470,0,1,1,60,120,2,120,60,2,120,120,BOTTOM,EQUAL
1513014470,0,21,1,60,120,1,120,120,2,120,120,CENTER,EQUAL
