SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE
1513005195,1,14,1,120,120,2,120,120,1,120,60,TOP
1513005195,1,31,1,120,120,2,120,60,2,60,120,TOP
1513005195,2,2,2,120,60,1,120,120,1,120,60,CENTER
1513005195,1,26,2,120,60,2,60,120,2,120,120,BOTTOM
1513005195,2,12,2,120,60,1,120,60,1,60,120,TOP
1513005195,1,1,1,120,120,1,60,120,1,120,60,TOP
1513005195,2,30,2,60,120,2,120,60,1,120,60,TOP
1513005195,2,22,2,120,60,1,120,60,2,120,120,BOTTOM
1513005195,2,27,2,60,120,1,60,120,2,120,60,TOP
1513005195,0,13,1,120,120,2,60,120,1,120,60,CENTER
1513005195,2,7,2,120,120,2,120,60,1,120,120,TOP
1513005195,1,36,2,60,120,1,120,120,2,120,120,CENTER
1513005195,1,19,1,60,120,1,120,120,2,120,60,CENTER
1513005195,2,20,2,60,120,1,120,120,2,120,120,TOP
1513005195,0,18,1,120,120,1,60,120,2,120,120,CENTER
1513005195,0,33,2,120,60,2,60,120,1,60,120,CENTER
1513005195,0,8,1,120,120,2,120,60,1,120,60,TOP
1513005195,1,6,1,120,120,1,60,120,2,120,60,TOP
1513005195,1,34,1,120,120,2,60,120,1,120,60,TOP
1513005195,2,32,1,60,120,2,60,120,1,120,60,CENTER
1513005195,1,4,1,120,120,2,60,120,1,60,120,TOP
1513005195,2,17,2,60,120,2,120,120,1,120,60,CENTER
1513005474,1,35,1,120,120,1,60,120,2,60,120,TOP
1513005474,0,17,2,120,60,1,120,120,2,120,120,CENTER
1513005474,2,24,2,120,60,1,120,120,2,120,120,BOTTOM
1513005474,0,22,1,120,120,1,120,60,1,60,120,TOP
1513005474,0,32,1,120,60,2,60,120,1,120,120,BOTTOM
1513005474,1,15,2,120,60,1,120,120,2,120,120,CENTER
1513005474,2,34,2,120,120,2,60,120,1,120,60,TOP
1513005474,2,26,2,60,120,1,60,120,1,120,120,TOP
1513005474,2,16,2,120,120,1,120,120,2,60,120,TOP
1513005474,0,12,1,120,60,2,60,120,1,60,120,TOP
1513005474,1,3,1,120,60,2,60,120,2,120,120,TOP
1513005474,0,27,1,60,120,1,120,120,2,60,120,BOTTOM
1513005474,2,9,2,120,60,2,60,120,1,120,120,CENTER
1513005474,2,21,2,60,120,1,120,120,2,120,60,TOP
1513005474,2,1,2,120,60,1,60,120,2,60,120,BOTTOM
1513005474,1,25,1,120,60,2,120,60,2,60,120,TOP
1513005474,1,13,2,120,60,1,120,120,2,60,120,CENTER
1513005474,1,8,2,120,60,2,120,120,1,60,120,BOTTOM
1513005474,1,33,1,60,120,2,120,60,2,120,120,BOTTOM
1513005474,2,36,2,120,60,2,120,120,2,60,120,CENTER
1513005474,2,29,1,120,60,2,120,60,1,120,120,CENTER
1513005474,2,4,1,120,60,2,60,120,2,120,60,TOP
1513005474,1,10,2,60,120,1,120,60,1,120,120,CENTER
1513005474,2,6,1,60,120,2,120,60,1,120,120,BOTTOM
1513005474,2,31,2,120,120,2,120,60,2,60,120,BOTTOM
1513005474,0,2,1,60,120,2,120,120,1,120,120,CENTER
1513005474,1,5,1,120,60,2,120,120,1,60,120,CENTER
1513005474,0,7,2,120,120,2,60,120,1,60,120,TOP
1513005474,1,23,1,60,120,2,120,60,1,120,60,TOP
1513005474,1,30,2,120,120,2,120,60,1,120,120,BOTTOM
1513005474,2,14,2,60,120,1,120,120,1,60,120,CENTER
1513005474,2,19,2,60,120,2,120,120,1,60,120,CENTER
1513005474,2,11,1,120,60,2,60,120,1,120,120,CENTER
1513005474,1,18,1,120,120,1,120,60,1,60,120,CENTER
1513005474,1,28,2,120,120,2,60,120,1,120,60,TOP
1513005474,1,20,1,120,120,2,60,120,1,120,60,TOP
1513006726,2,9,2,120,120,2,120,60,1,60,120,CENTER
1513006726,0,5,2,120,120,2,60,120,2,120,60,CENTER
1513006726,1,13,2,120,120,2,120,60,2,60,120,CENTER
1513006726,2,14,2,60,120,2,120,60,1,120,60,CENTER
1513006726,1,36,1,120,60,1,120,120,2,120,120,CENTER
1513006726,0,30,2,120,120,1,120,60,1,120,120,TOP
1513006726,1,33,1,120,120,1,60,120,2,120,60,TOP
1513006726,2,2,2,60,120,1,60,120,2,120,120,BOTTOM
1513006726,2,34,2,60,120,2,120,60,2,120,120,BOTTOM
1513006726,1,11,1,60,120,1,120,60,2,120,60,CENTER
1513006726,2,32,2,60,120,1,60,120,2,120,120,TOP
1513006726,0,20,2,120,60,1,120,60,1,60,120,CENTER
1513006726,2,4,2,120,120,1,120,60,2,120,60,TOP
1513006726,1,26,2,60,120,2,120,120,1,120,120,BOTTOM
1513006726,2,19,2,120,60,2,60,120,1,120,60,CENTER
1513006726,1,8,1,120,60,1,120,120,2,60,120,TOP
1513006726,1,28,2,120,60,2,120,120,1,120,60,CENTER
1513006726,1,6,2,120,60,1,60,120,2,120,120,CENTER
1513006726,2,7,2,120,120,1,120,120,1,60,120,TOP
1513006726,0,35,2,120,60,1,120,60,1,60,120,CENTER
1513006726,0,10,1,60,120,1,120,120,2,120,60,BOTTOM
1513006726,1,31,2,120,60,2,60,120,1,60,120,BOTTOM
1513006726,1,21,1,60,120,1,120,60,2,60,120,CENTER
1513006726,2,17,2,120,60,1,120,60,2,60,120,CENTER
1513006726,1,1,2,120,120,1,120,120,1,120,60,CENTER
1513006726,1,3,2,120,60,2,60,120,1,120,120,BOTTOM
1513006726,0,25,1,60,120,1,120,60,2,120,60,BOTTOM
1513006726,2,29,1,60,120,2,120,120,1,120,120,CENTER
1513006726,2,27,2,120,120,1,120,60,1,60,120,TOP
1513006726,2,12,2,120,60,1,60,120,1,120,120,TOP
1513006726,1,18,2,120,60,1,60,120,2,60,120,CENTER
1513006726,1,16,1,60,120,1,120,120,2,120,120,CENTER
1513006726,2,24,2,120,120,2,60,120,1,120,60,CENTER
1513006726,0,15,2,60,120,1,120,120,2,120,120,CENTER
1513006726,2,22,1,120,120,2,120,120,2,120,60,CENTER
1513006726,1,23,2,120,60,2,60,120,1,120,60,BOTTOM
1513007007,1,27,2,120,60,2,60,120,2,120,120,TOP
1513007007,2,26,1,120,60,2,60,120,1,60,120,CENTER
1513007007,2,13,2,120,60,2,120,120,2,60,120,CENTER
1513007007,1,30,1,60,120,1,120,120,2,60,120,CENTER
1513007007,2,18,2,120,60,2,60,120,1,120,60,CENTER
1513007007,1,7,1,120,120,2,120,120,1,60,120,TOP
1513007007,0,34,2,60,120,1,120,60,1,120,120,BOTTOM
1513007007,1,5,2,60,120,1,60,120,2,120,60,CENTER
1513007007,0,24,1,120,120,1,60,120,1,120,60,TOP
1513007007,1,20,1,60,120,1,120,60,2,60,120,CENTER
1513007007,0,14,1,120,60,2,120,120,1,60,120,TOP
1513007007,1,10,1,60,120,1,120,60,1,120,120,CENTER
1513007007,1,12,2,120,60,1,120,60,2,120,120,CENTER
